,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Urbis sala 2024,"3443,81","2475,43","2247,83","1899,2","2272,48","2597,65","3173,42","3703,88","3179,66","3507,05","5522,97","4370,7"
Urbis Oficina 2024,"267,38","146,11","216,86","238,11","184,34","245,75","288,87","243,2","238,54","360,41","244,41","336,99"
Urbis Vestuario 2024,"114,88","80,4","79,06","84,04","81,84","102,51","122,84","116,9","121,33","107,94","122,18","123,79"
MAPFRE 5ª 2024,"4815,51","3452,65","3026,12","2714,93","3345,37","4226,94","6015,81","6869,15","5783,96","5999,82","6823,66","6936,28"
MAPFRE 4ª 2024,"247,77","183,81","145,86","202,78","203,74","231,67","386,82","357,54","312,51","232,03","353,47","198,63"
MAPFRE 1ª 2024,,,,,,,"63,41","63,41","84,68","84,68",176,176
Urbis sala 2025,"5409,21","8042,39","6429,69","4631,14","5277,71","4407,11","5438,5","5345,84","5393,65","6383,31","2523,7","9703,22"
Urbis Oficina 2025,"246,98","305,38","183,6","254,53","221,32","289,51","243,23","332,66","261,84","395,19","290,71","336,99"
Urbis Vestuario 2025,"122,96","105,22","104,49","93,6","91,8",102,"92,9","88,4","114,23","102,31","93,79","138,87"
MAPFRE 5ª 2025,"6059,32","5676,51","4647,51","3247,25","4150,46","5272,26",6792,"6794,68","6740,89","7428,36","5807,96","6048,05"
MAPFRE 4ª 2025,"178,53","186,74","158,81","228,96","255,01","352,72","365,28","385,74","367,02","376,45","241,38","239,61"
MAPFRE 1ª 2025,"171,62","126,65","122,97","153,26","284,28","285,5","329,21","244,89","258,23","240,04","156,4","136,15"